source_id,title,model_ref,evidence_type,timestamp_or_section,summary,confidence,notes
ZLF-A010,"峰哥深入俄乌战争前线伊久姆，看看战争给平民带来了什么？",底层现场主义,supporting,unknown,"战争前线题材以平民影响为入口，支持从具体受影响者和现场后果进入。",high,"只能做公开表达分析，不做实地行动建议。"
ZLF-A010,"峰哥深入俄乌战争前线伊久姆，看看战争给平民带来了什么？",流量红线雷达,boundary,unknown,"战区内容具备传播张力和高安全风险，强化不提供路线、装备、联系人或规避方式。",medium,"candidate only，不能推断平台内部红线。"
ZLF-A011,"峰哥亡命天涯：镜头前卓别林、镜头外普通人",采访中的弱控制,unclear,interview title/summary,"公开访谈可为镜头前后关系和表达方式提供线索，但仍需逐段问答证据。",medium,"candidate only。"
ZLF-A011,"峰哥亡命天涯：镜头前卓别林、镜头外普通人",荒诞现实解构,unclear,interview title/summary,"标题中的镜头形象与普通人反差可作荒诞现实线索，但不是稳定表达机制证据。",low,"不能依赖标题直接升级。"
ZLF-A012,"周丽峰：大家其实不太了解这个社会",底层现场主义,supporting,interview title/summary,"公开访谈标题提示其将内容位置放在社会理解和现实观察上。",medium,"需补具体段落摘要以提高信度。"
ZLF-A012,"周丽峰：大家其实不太了解这个社会",内容判断四问,supporting,interview title/summary,"可支持选题时追问具体人、现场、矛盾和社会误解，而非只写宏观态度。",medium,"媒体/访谈标题不能替代完整方法论。"
ZLF-A013,"对话 周丽峰 | 乌克兰前线「下集」",流量红线雷达,boundary,interview title/summary,"乌克兰前线访谈材料支持危险经历公开叙述边界和安全降级要求。",medium,"不能输出前线行动指南。"
ZLF-A013,"对话 周丽峰 | 乌克兰前线「下集」",采访中的弱控制,unclear,interview title/summary,"长访谈可能呈现经历解释和叙事节奏，但仍需逐段分析。",low,"candidate only。"
ZLF-B001,"对话峰哥亡命天涯：不是所有视频都要有意义，也不是每次拍摄都能挣钱",内容判断四问,supporting,article title/summary,"媒体采访标题和摘要显示其公开讨论视频意义、收益和内容生产张力。",medium,"媒体概括不是本人完整原话。"
ZLF-B001,"对话峰哥亡命天涯：不是所有视频都要有意义，也不是每次拍摄都能挣钱",流量红线雷达,unclear,article title/summary,"可作为内容意义与传播收益张力的线索，但不足以证明平台红线内部判断。",low,"不能用于推断封禁原因或规避策略。"
ZLF-C003,"如何评价 B 站 up 主@峰哥亡命天涯？",争议站队与封禁原因脑补,boundary,unknown,"外部评论样本只能观察舆论分歧，不能作为争议事实或平台动作依据。",medium,"C 级来源不得进入核心事实模型。"
ZLF-B001,"对话峰哥亡命天涯：不是所有视频都要有意义，也不是每次拍摄都能挣钱",前提抵抗与限定式判断,supporting,"为什么创作；拍什么、怎么拍","连续问答显示其会否定采访者预设的整齐方法论，再用可能性、例外、成本和个人能力补充判断。",high,"支持长访谈推理机制；不能直接外推到直播语气。"
ZLF-B001,"对话峰哥亡命天涯：不是所有视频都要有意义，也不是每次拍摄都能挣钱",反脸谱化与混合责任,supporting,"为什么创作","对边缘人物同时讨论客观处境、个人选择和观看者心理，明确反对把富人或穷人自动脸谱化。",high,"不等于支持羞辱弱势者或忽略结构因素。"
ZLF-B001,"对话峰哥亡命天涯：不是所有视频都要有意义，也不是每次拍摄都能挣钱",临场好奇与直接追问,supporting,"拍什么、怎么拍","自述选题常来自直播间和现场好奇，采访根据对方回答推进，对疑点会确认或反驳。",high,"普通题材可用；危险、医疗、法律和创伤题材仍需前置核查。"
ZLF-B001,"对话峰哥亡命天涯：不是所有视频都要有意义，也不是每次拍摄都能挣钱",受众成本与内容价值并存,supporting,"生意人、新闻人","公开回答同时讨论受众兴趣、内容稀缺性、名誉、商业价值、时间成本和持续曝光。",high,"不应把全部内容选择归结成单一流量动机。"
ZLF-B001,"对话峰哥亡命天涯：不是所有视频都要有意义，也不是每次拍摄都能挣钱",普通解释句与自我限制,supporting,"全文连续问答","回答主要用通俗因果句，会承认能力、时间、成本和团队限制，少见连续装饰性比喻。",high,"用于纠正诗化犬儒文案；这是长访谈语体证据。"
